--  PRODUCT_ID :  11640		SERIAL_LENGTH  :   18     PRD_SL  : 1    PRD_SL_TYPE  : 1    ADDNL_SL_INFO undefined
--  PRODUCT_ID :  12000		SERIAL_LENGTH  :   20     PRD_SL  : 1    PRD_SL_TYPE  : 2    ADDNL_SL_INFO [ {1,1201,ICCID,1,20 }{2,1202,MSISDN,1,20}{3,1203,IMSI,0,20 } ]
--  PRODUCT_ID :  12150		SERIAL_LENGTH  :   20     PRD_SL  : 1    PRD_SL_TYPE  : 2    ADDNL_SL_INFO [ {1,1201,ICCID,1,20 }{2,1202,MSISDN,1,20}{3,1203,IMSI,0,20 } ]
--  PRODUCT_ID :  12210		SERIAL_LENGTH  :   20     PRD_SL  : 1    PRD_SL_TYPE  : 2    ADDNL_SL_INFO undefined
--  PRODUCT_ID :  12318     SERIAL_LENGTH  :   0   PRD_SL  : 0    PRD_SL_TYPE  : undefined
--  PRODUCT_ID :  12353     SERIAL_LENGTH  :   15     PRD_SL  : 1    PRD_SL_TYPE  : 0    ADDNL_SL_INFO undefined 
--  PRODUCT_ID :  12362     SERIAL_LENGTH  :   18     PRD_SL  : 1    PRD_SL_TYPE  : 0    ADDNL_SL_INFO [ empty ]
--  PRODUCT_ID :  12452		SERIAL_LENGTH  :   20     PRD_SL  : 1    PRD_SL_TYPE  : 2    ADDNL_SL_INFO [ {1, 12445, Test Blank, 1, 16 } ]
--  PRODUCT_ID :  12507     SERIAL_LENGTH  :   18     PRD_SL  : 1    PRD_SL_TYPE  : 0    ADDNL_SL_INFO [ [ {1, 1201, ICCID, 1, 20 } {2, 1202, MSISDN, 1, 20 } ] ]















































----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|303579|VBILL20191210005|10-12-2019|12318|10|||12-12-2099||||
20|303579|VBILL20191210001|10-12-2019|12507|1|966660000000TE0101|966660000000TE0101|12-12-2099|12345010000000010001|12345010000000020001||
20|303579|VBILL20191210002|10-12-2019||1|988880000Te0111|988880000Te0111|12-11-2019||||
20|303579|VBILL20191210002|10-12-2019||10|||12-12-2099||||
20|303579|VBILL20191210002|10-12-2019||10|95555310000000001110|95555310000000001200|12-12-2099|12345600000000111002|12345600000000120002|12345600000000130002|
20|303579|VBILL20191210002|10-12-2019|11640|10|966651000000000011|966651000000000020|12-12-2099||||
20|303579|VBILL20191210002|10-12-2019|12000|10|95501200000000000110|95501200000000000200|12-12-2099|12345600000000110002|12345600000000220002||
20|303579|VBILL20191210002|10-12-2019|12150|10|95555310000000000110|95555310000000000200|12-12-2099|12345600000000010002|12345600000000020002|12345600000000030002|
20|303579|VBILL20191210002|10-12-2019|12210|10|95550100000000000110|95550100000000000200|12-12-2099||||
20|303579|VBILL20191210002|10-12-2019|12318|10|||12-12-2099||||
20|303579|VBILL20191210002|10-12-2019|12353|1|988880000TE0111|988880000TE0111|12-12-2099||||
20|303579|VBILL20191210002|10-12-2019|12362|1|977770000000TE0111|977770000000TE0111|12-12-2099||||
20|303579|VBILL20191210002|10-12-2019|12362|1|977770000000TEa111|977770000000TE0111|12-12-2099||||
20|303579|VBILL20191210002|10-12-2019|12452|10|95555410000000000110|95555410000000000200|12-12-2099||||1323132300000002
20|303579|VBILL20191210002|10-12-2019|12452|10|95555410000000001110|95555410000000001200|12-12-2099||||1323132300000002
20|303579|VBILL20191210002|10-12-2019|12507||966660000000TE0a11|966660000000TE0a11|12-12-2099||12345010000000020012||
20|303579|VBILL20191210002|10-12-2019|12507|1|966660000000TE0111|966660000000TE0111|12-12-2099|12345010000000010002|12345010000000020002||
20|303579|VBILL20191210003|10-12-2019||1|966660000000TE0a21|966660000000TE0a21|12-12-2099|12345010000000010013|12345010000000020013||
20|303579|VBILL20191210003|10-12-2019||1|977770000000TEa121|977770000000TEa121|12-12-2099||||
20|303579|VBILL20191210003|10-12-2019||10|95501200000000001210|95501200000000001300|12-12-2099|12345600000001110003|12345600000001220003||
20|303579|VBILL20191210003|10-12-2019|11640|10|966651000000000021|966651000000000030|12-12-2099||||
20|303579|VBILL20191210003|10-12-2019|11640|6|966651000000000021|966651000000000030|12-12-2099||||
20|303579|VBILL20191210003|10-12-2019|12000|10|95501200000000000210|95501200000000000300|12-12-2099|12345600000000110003|12345600000000220003||
20|303579|VBILL20191210003|10-12-2019|12150||95555310000000001210|95555310000000001300|12-12-2099|12345600000000111003|12345600000000120003|12345600000000130003|
20|303579|VBILL20191210003|10-12-2019|12150|10|95555310000000000210|95555310000000000300|12-12-2099|12345600000000010003|12345600000000020003|12345600000000030003|
20|303579|VBILL20191210003|10-12-2019|12210|1|95550100000000001210|95550100000000001300|12-12-2099||||
20|303579|VBILL20191210003|10-12-2019|12210|10|95550100000000000210|95550100000000000300|12-12-2099||||
20|303579|VBILL20191210003|10-12-2019|12318|10|||12-12-2099||||
20|303579|VBILL20191210003|10-12-2019|12353|0|988880000Te0121|988880000Te0121|12-12-2099||||
20|303579|VBILL20191210003|10-12-2019|12353|1|988880000TE0121|988880000TE0121|12-12-2099||||
20|303579|VBILL20191210003|10-12-2019|12362|1|977770000000TE0121|977770000000TE0121|12-12-2099||||
20|303579|VBILL20191210003|10-12-2019|12452||95555410000000001210|95555410000000001300|12-12-2099||||1323132300001113
20|303579|VBILL20191210003|10-12-2019|12452|10|95555410000000000210|95555410000000000300|12-12-2099||||1323132300000003
20|303579|VBILL20191210003|10-12-2019|12507|1|966660000000TE0121|966660000000TE0121|12-12-2099|12345010000000010003|12345010000000020003||
20|303579|VBILL20191210004|10-12-2019||10|95550100000000001310|95550100000000001400|12-12-2099||||
20|303579|VBILL20191210004|10-12-2019||10|966651000000000031|966651000000000040|12-12-2099||||
20|303579|VBILL20191210004|10-12-2019|11640|10|966651000000000031|966651000000000040|12-12-2099||||
20|303579|VBILL20191210004|10-12-2019|12000||95501200000000001310|95501200000000001400|12-12-2099|12345600000001110004|12345600000001220004||
20|303579|VBILL20191210004|10-12-2019|12000|10|95501200000000000310|95501200000000000400|12-12-2099|12345600000000110004|12345600000000220004||
20|303579|VBILL20191210004|10-12-2019|12150|10|95555310000000000310|95555310000000000400|12-12-2099|12345600000000010004|12345600000000020004|12345600000000030004|
20|303579|VBILL20191210004|10-12-2019|12210|10|95550100000000000310|95550100000000000400|12-12-2099||||
20|303579|VBILL20191210004|10-12-2019|12318|0|||12-12-2099||||
20|303579|VBILL20191210004|10-12-2019|12318|10|||12-12-2099||||
20|303579|VBILL20191210004|10-12-2019|12353|1|988880000TE0131|988880000TE0131|12-12-2099||||
20|303579|VBILL20191210004|10-12-2019|12362|1|977770000000TE0131|977770000000TE0131|12-12-2099||||
20|303579|VBILL20191210004|10-12-2019|12452|10|95555410000000000310|95555410000000000400|12-12-2099||||1323132300000004
20|303579|VBILL20191210004|10-12-2019|12507|1|966660000000TE0131|966660000000TE0131|12-12-2099|12345010000000010004|12345010000000020004||
20|303579|VBILL20191210005||12353|1|988880000Te0141|988880000Te0141|12-12-2099||||
20|303579|VBILL20191210005|10-12-2019|11640|10|966651000000000041|966651000000000050|12-11-2019||||
20|303579|VBILL20191210005|10-12-2019|11640|10|966651000000000041|966651000000000050|12-12-2099||||
20|303579|VBILL20191210005|10-12-2019|12000|10|95501200000000000410|95501200000000000500|12-12-2099|12345600000000110005|12345600000000220005||
20|303579|VBILL20191210005|10-12-2019|12000|10|95501200000000001410|95501200000000001500|12-11-2019|12345600000001110005|12345600000001220005||
20|303579|VBILL20191210005|10-12-2019|12150|10|95555310000000000410|95555310000000000500|12-12-2099|12345600000000010005|12345600000000020005|12345600000000030005|
20|303579|VBILL20191210005|10-12-2019|12150|10|95555310000000001410|95555310000000001500|12-11-2019|12345600000000111005|12345600000000120005|12345600000000130005|
20|303579|VBILL20191210005|10-12-2019|12210|10|95550100000000000410|95550100000000000500|12-12-2099||||
20|303579|VBILL20191210005|10-12-2019|12210|10|95550100000000001410|95550100000000001500|12-11-2019||||
20|303579|VBILL20191210005|10-12-2019|12318|10|||12-12-2099||||
20|303579|VBILL20191210005|10-12-2019|12353|1|988880000TE0141|988880000TE0141|12-12-2099||||
20|303579|VBILL20191210005|10-12-2019|12362|1|977770000000TE0141|977770000000TE0141|12-12-2099||||
20|303579|VBILL20191210005|10-12-2019|12362|1|977770000000TEa141|977770000000TEa141|12-11-2019||||
20|303579|VBILL20191210005|10-12-2019|12452|10|95555410000000000410|95555410000000000500|12-12-2099||||1323132300000005
20|303579|VBILL20191210005|10-12-2019|12452|10|95555410000000001410|95555410000000001500|12-11-2019||||1323132300001115
20|303579|VBILL20191210005|10-12-2019|12507|1|966660000000TE0141|966660000000TE0141|12-12-2099|12345010000000010005|12345010000000020005||
20|303579|VBILL20191210005|10-12-2019|12507|1|966660000000TE0a41|966660000000TE0a41|12-11-2019|12345010000000010015|12345010000000020015||
FROM_NODE|TO_NODE|BILL_NO|BILL_DATE|PRODUCT_ID|QUANTITY|START_SERIAL|END_SERIAL|EXPIRY_DATE|ICCID/ADNL_SN_1|MSISDN/ADNL_SN_2|IMSI/ADNL_SN_3|ADNL_SN_4
